"session_id","time_start","browser","ip_address","time_end","q1_flying_speed","q2_weight_speed","q3_wingspan","q4_wingspan_speed_single","q5_wingspan_speed_all","q6_claw_wingspan","time_q_q1_flying_speed","time_q_q2_weight_speed","time_q_q3_wingspan","time_q_q4_wingspan_speed_single","time_q_q5_wingspan_speed_all","time_q_q6_claw_wingspan","time_p_welcome","time_p_questions","time_p_end","current_page"
"02797d44e9e8c68283afb334c2b4b907","2026-06-16 21:53:01 UTC","Chrome v149, Windows","127.0.0.1","2026-06-16 21:59:23 UTC","",,,"",,,"",,,"",,,"2026-06-16 21:53:01 UTC","",,""
"e7549cac1d97f46dbc33e99273146b8d","2026-06-16 22:00:27 UTC","Chrome v149, Windows","127.0.0.1","2026-06-16 22:13:14 UTC","mountain",,,"",,,"2026-06-16 22:02:20 UTC",,,"",,,"2026-06-16 22:00:27 UTC","2026-06-16 22:02:18 UTC",,"questions"
"0442db01a994fbb1574127b3f1c27a8a","2026-06-16 22:13:15 UTC","Chrome v149, Windows","127.0.0.1","2026-06-16 22:34:40 UTC","",,,"",,,"",,,"",,,"2026-06-16 22:13:15 UTC","",,""
"558e375fa013e9b21bb551206323ab6b","2026-06-16 22:21:41 UTC","Chrome v149, Windows","127.0.0.1","2026-06-16 22:34:41 UTC","",,,"",,,"",,,"",,,"2026-06-16 22:21:41 UTC","",,""
"06634fcb7447e4c80c24a72f156cc8b9","2026-06-16 22:25:13 UTC","Chrome v149, Windows","127.0.0.1","2026-06-16 22:34:42 UTC","",,,"",,,"",,,"",,,"2026-06-16 22:25:13 UTC","",,""
"b42af4e565c27beaae0dd5cd5ff6bc68","2026-06-16 22:34:37 UTC","Chrome v149, Windows","127.0.0.1","","",,,"",,,"",,,"",,,"2026-06-16 22:34:37 UTC","",,""
"b68d32b1b194571fb5d124129e669bfe","2026-06-16 22:36:37 UTC","Chrome v149, Windows","127.0.0.1","","",,,"",,,"",,,"",,,"2026-06-16 22:36:37 UTC","",,""
"a773deb345f22ffb0bc560de26f23743","2026-06-16 22:38:51 UTC","Chrome v149, Windows","127.0.0.1","2026-06-16 23:12:09 UTC","mountain",,,"negative",,,"2026-06-16 22:41:24 UTC",,,"2026-06-16 22:42:25 UTC",,,"2026-06-16 22:38:51 UTC","2026-06-16 22:39:52 UTC",,"questions"
"2f707b3a16fda43a0604edbe5c44d492","2026-06-16 23:12:33 UTC","Chrome v149, Windows","127.0.0.1","","",,,"",,,"",,,"",,,"2026-06-16 23:12:33 UTC","",,""
"e3c35220cf2e7f5bc8ec3c8ac602af62","2026-06-16 23:24:57 UTC","Chrome v149, Windows","127.0.0.1","","",,,"",,,"",,,"",,,"2026-06-16 23:24:57 UTC","",,""
"0f6526f21d87ffc0de44db1d37dd19ab","2026-06-16 23:28:03 UTC","Chrome v149, Windows","127.0.0.1","","",,,"",,,"",,,"",,,"2026-06-16 23:28:03 UTC","",,""
"731d667c21b62ec394d78abaefd5533b","2026-06-16 23:42:47 UTC","Chrome v149, Windows","127.0.0.1","2026-06-17 00:18:09 UTC","",,,"",,,"",,,"",,,"2026-06-16 23:42:47 UTC","",,""
"7272c8d1e2b5cb5e83b676d484bcf13d","2026-06-16 23:56:20 UTC","Chrome v149, Windows","127.0.0.1","2026-06-17 00:18:07 UTC","",,,"",,,"",,,"",,,"2026-06-16 23:56:20 UTC","",,""
"546a42859e2ed7f3ce3bb19483e368d5","2026-06-17 00:25:39 UTC","Chrome v149, Windows","127.0.0.1","2026-06-17 00:27:45 UTC","",,,"",,,"",,,"",,,"2026-06-17 00:25:39 UTC","",,""
